joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
-0.5235,-0.7853,1.5708,-0.7853,1.0471,-0.2617,0.5235,-0.7853,1.5708,0.7853,1.0471,0.261799
-0.528288,-0.780106,1.56144,-0.745417,1.03951,-0.209247,0.540977,-0.804651,1.51158,0.80948,1.05903,0.28522
-0.525497,-0.778077,1.5776,-0.72597,1.05326,-0.239323,0.558517,-0.78729,1.48187,0.743713,1.04215,0.331624
-0.483846,-0.748011,1.57857,-0.682925,1.07524,-0.253461,0.523202,-0.75317,1.45671,0.707034,1.04348,0.35243
-0.442196,-0.717945,1.57954,-0.63988,1.09723,-0.267599,0.487887,-0.719051,1.43155,0.670356,1.04481,0.373235
-0.400545,-0.687879,1.5805,-0.596835,1.11921,-0.281737,0.452572,-0.684932,1.40639,0.633677,1.04614,0.39404
-0.358894,-0.657813,1.58147,-0.55379,1.1412,-0.295875,0.417256,-0.650813,1.38123,0.596998,1.04747,0.414845
-0.317243,-0.627747,1.58244,-0.510745,1.16318,-0.310013,0.381941,-0.616694,1.35607,0.56032,1.0488,0.435651
-0.275592,-0.597681,1.5834,-0.4677,1.18517,-0.324151,0.346626,-0.582574,1.33091,0.523641,1.05013,0.456456
-0.233941,-0.567615,1.58437,-0.424654,1.20715,-0.338289,0.311311,-0.548455,1.30575,0.486962,1.05146,0.477261
-0.19229,-0.537549,1.58534,-0.381609,1.22913,-0.352427,0.275995,-0.514336,1.28059,0.450284,1.05279,0.498066
-0.150639,-0.507484,1.58631,-0.338564,1.25112,-0.366565,0.24068,-0.480217,1.25543,0.413605,1.05412,0.518871
-0.108988,-0.477418,1.58727,-0.295519,1.2731,-0.380703,0.205365,-0.446098,1.23028,0.376927,1.05545,0.539677
-0.0673372,-0.447352,1.58824,-0.252474,1.29509,-0.39484,0.17005,-0.411978,1.20512,0.340248,1.05678,0.560482
-0.0256862,-0.417286,1.58921,-0.209429,1.31707,-0.408978,0.134734,-0.377859,1.17996,0.303569,1.05811,0.581287
0.0159647,-0.38722,1.59017,-0.166383,1.33905,-0.423116,0.099419,-0.34374,1.1548,0.266891,1.05944,0.602092
0.00735541,-0.401852,1.5258,-0.115331,1.34101,-0.445135,0.105412,-0.369394,1.15942,0.29672,1.06354,0.631262
0.0382731,-0.381328,1.48538,-0.0891986,1.29869,-0.418846,0.111249,-0.347134,1.16042,0.332524,1.0359,0.66658
-0.0080779,-0.391174,1.49452,-0.0568302,1.29698,-0.439263,0.0951699,-0.319084,1.18297,0.304941,1.01297,0.724576
